
1491400802
PING 104.16.62.3 (104.16.62.3) 56(84) bytes of data.
64 bytes from 104.16.62.3: icmp_seq=37 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=38 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=39 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=40 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=41 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=42 ttl=53 time=6.91 ms
64 bytes from 104.16.62.3: icmp_seq=43 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=44 ttl=53 time=6.44 ms
64 bytes from 104.16.62.3: icmp_seq=45 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=46 ttl=53 time=6.44 ms
64 bytes from 104.16.62.3: icmp_seq=47 ttl=53 time=6.44 ms
64 bytes from 104.16.62.3: icmp_seq=48 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=49 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=50 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=51 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=52 ttl=53 time=6.46 ms
64 bytes from 104.16.62.3: icmp_seq=53 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=54 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=55 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=56 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=57 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=58 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=59 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=60 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=61 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=62 ttl=53 time=6.41 ms
