
1491400802
PING 94.228.132.139 (94.228.132.139) 56(84) bytes of data.
64 bytes from 94.228.132.139: icmp_seq=1 ttl=48 time=14.0 ms
64 bytes from 94.228.132.139: icmp_seq=2 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=3 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=4 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=5 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=6 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=7 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=8 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=9 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=10 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=11 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=12 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=13 ttl=48 time=14.0 ms
64 bytes from 94.228.132.139: icmp_seq=14 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=15 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=16 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=17 ttl=48 time=13.7 ms
64 bytes from 94.228.132.139: icmp_seq=18 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=19 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=20 ttl=48 time=14.3 ms
64 bytes from 94.228.132.139: icmp_seq=21 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=22 ttl=48 time=13.7 ms
64 bytes from 94.228.132.139: icmp_seq=23 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=24 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=25 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=26 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=27 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=28 ttl=48 time=0.000 ms
64 bytes from 94.228.132.139: icmp_seq=29 ttl=48 time=14.2 ms
64 bytes from 94.228.132.139: icmp_seq=30 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=31 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=32 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=33 ttl=48 time=15.0 ms
64 bytes from 94.228.132.139: icmp_seq=34 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=35 ttl=48 time=15.4 ms
64 bytes from 94.228.132.139: icmp_seq=36 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=37 ttl=48 time=15.4 ms
64 bytes from 94.228.132.139: icmp_seq=38 ttl=48 time=0.000 ms
64 bytes from 94.228.132.139: icmp_seq=39 ttl=48 time=15.5 ms
64 bytes from 94.228.132.139: icmp_seq=40 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=41 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=42 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=43 ttl=48 time=1.37 ms
64 bytes from 94.228.132.139: icmp_seq=44 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=45 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=46 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=47 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=48 ttl=48 time=0.000 ms
64 bytes from 94.228.132.139: icmp_seq=49 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=50 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=51 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=52 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=53 ttl=48 time=0.000 ms
64 bytes from 94.228.132.139: icmp_seq=54 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=55 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=56 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=57 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=58 ttl=48 time=0.000 ms
64 bytes from 94.228.132.139: icmp_seq=59 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=60 ttl=48 time=15.4 ms
64 bytes from 94.228.132.139: icmp_seq=61 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=62 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=63 ttl=48 time=0.893 ms
64 bytes from 94.228.132.139: icmp_seq=64 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=65 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=66 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=67 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=68 ttl=48 time=0.000 ms
64 bytes from 94.228.132.139: icmp_seq=69 ttl=48 time=15.4 ms
64 bytes from 94.228.132.139: icmp_seq=70 ttl=48 time=15.4 ms
64 bytes from 94.228.132.139: icmp_seq=71 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=72 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=73 ttl=48 time=0.000 ms
64 bytes from 94.228.132.139: icmp_seq=74 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=75 ttl=48 time=14.1 ms
64 bytes from 94.228.132.139: icmp_seq=76 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=77 ttl=48 time=14.7 ms
64 bytes from 94.228.132.139: icmp_seq=78 ttl=48 time=0.000 ms
64 bytes from 94.228.132.139: icmp_seq=79 ttl=48 time=14.0 ms
64 bytes from 94.228.132.139: icmp_seq=80 ttl=48 time=14.2 ms
64 bytes from 94.228.132.139: icmp_seq=81 ttl=48 time=14.1 ms
64 bytes from 94.228.132.139: icmp_seq=82 ttl=48 time=15.4 ms
64 bytes from 94.228.132.139: icmp_seq=83 ttl=48 time=6.10 ms
64 bytes from 94.228.132.139: icmp_seq=84 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=85 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=86 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=87 ttl=48 time=15.3 ms
64 bytes from 94.228.132.139: icmp_seq=88 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=89 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=90 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=91 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=92 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=93 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=94 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=95 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=96 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=97 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=98 ttl=48 time=14.1 ms
64 bytes from 94.228.132.139: icmp_seq=99 ttl=48 time=14.0 ms
64 bytes from 94.228.132.139: icmp_seq=100 ttl=48 time=14.0 ms
64 bytes from 94.228.132.139: icmp_seq=101 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=102 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=103 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=104 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=105 ttl=48 time=14.2 ms
64 bytes from 94.228.132.139: icmp_seq=106 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=107 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=108 ttl=48 time=16.9 ms
64 bytes from 94.228.132.139: icmp_seq=109 ttl=48 time=14.3 ms
64 bytes from 94.228.132.139: icmp_seq=110 ttl=48 time=14.0 ms
64 bytes from 94.228.132.139: icmp_seq=111 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=112 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=113 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=114 ttl=48 time=15.5 ms
64 bytes from 94.228.132.139: icmp_seq=115 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=116 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=117 ttl=48 time=14.5 ms
64 bytes from 94.228.132.139: icmp_seq=118 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=119 ttl=48 time=14.0 ms
64 bytes from 94.228.132.139: icmp_seq=120 ttl=48 time=13.9 ms

--- 94.228.132.139 ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119142ms
rtt min/avg/max/mdev = 0.000/12.884/16.950/3.919 ms

1491422402
PING 94.228.132.139 (94.228.132.139) 56(84) bytes of data.
64 bytes from 94.228.132.139: icmp_seq=1 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=2 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=3 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=4 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=5 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=6 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=7 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=8 ttl=48 time=13.7 ms
64 bytes from 94.228.132.139: icmp_seq=9 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=10 ttl=48 time=13.7 ms
64 bytes from 94.228.132.139: icmp_seq=11 ttl=48 time=13.8 ms
