
1491400802
PING 103.9.171.248 (103.9.171.248) 56(84) bytes of data.
64 bytes from 103.9.171.248: icmp_seq=1 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=2 ttl=41 time=308 ms
64 bytes from 103.9.171.248: icmp_seq=3 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=4 ttl=41 time=307 ms
64 bytes from 103.9.171.248: icmp_seq=5 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=6 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=7 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=8 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=9 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=10 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=11 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=12 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=13 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=14 ttl=41 time=307 ms
64 bytes from 103.9.171.248: icmp_seq=15 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=16 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=17 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=18 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=19 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=20 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=21 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=22 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=23 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=24 ttl=41 time=308 ms
64 bytes from 103.9.171.248: icmp_seq=25 ttl=41 time=311 ms
64 bytes from 103.9.171.248: icmp_seq=26 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=27 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=28 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=29 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=30 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=31 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=32 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=33 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=34 ttl=41 time=308 ms
64 bytes from 103.9.171.248: icmp_seq=35 ttl=41 time=312 ms
64 bytes from 103.9.171.248: icmp_seq=36 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=37 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=38 ttl=41 time=308 ms
64 bytes from 103.9.171.248: icmp_seq=39 ttl=41 time=308 ms
64 bytes from 103.9.171.248: icmp_seq=40 ttl=41 time=308 ms
64 bytes from 103.9.171.248: icmp_seq=41 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=42 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=43 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=44 ttl=41 time=308 ms
64 bytes from 103.9.171.248: icmp_seq=45 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=46 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=47 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=48 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=49 ttl=41 time=312 ms
64 bytes from 103.9.171.248: icmp_seq=50 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=51 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=52 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=53 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=54 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=55 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=56 ttl=41 time=310 ms
64 bytes from 103.9.171.248: icmp_seq=57 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=58 ttl=41 time=309 ms
64 bytes from 103.9.171.248: icmp_seq=59 ttl=41 time=309 ms
