
1491400802
PING 202.181.132.41 (202.181.132.41) 56(84) bytes of data.
64 bytes from 202.181.132.41: icmp_seq=81 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=82 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=83 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=84 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=85 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=86 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=87 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=88 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=89 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=90 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=91 ttl=112 time=257 ms
64 bytes from 202.181.132.41: icmp_seq=92 ttl=112 time=257 ms
64 bytes from 202.181.132.41: icmp_seq=93 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=94 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=95 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=96 ttl=112 time=257 ms
64 bytes from 202.181.132.41: icmp_seq=97 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=98 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=99 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=100 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=101 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=102 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=103 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=104 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=105 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=106 ttl=112 time=257 ms
64 bytes from 202.181.132.41: icmp_seq=107 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=108 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=109 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=110 ttl=112 time=257 ms
64 bytes from 202.181.132.41: icmp_seq=111 ttl=112 time=256 ms
