
1491400802
PING 94.228.132.139 (94.228.132.139) 56(84) bytes of data.
64 bytes from 94.228.132.139: icmp_seq=1 ttl=48 time=15.5 ms
64 bytes from 94.228.132.139: icmp_seq=2 ttl=48 time=14.3 ms
64 bytes from 94.228.132.139: icmp_seq=3 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=4 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=5 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=6 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=7 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=8 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=9 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=10 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=11 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=12 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=13 ttl=48 time=14.1 ms
64 bytes from 94.228.132.139: icmp_seq=14 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=15 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=16 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=17 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=18 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=19 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=20 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=21 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=22 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=23 ttl=48 time=14.1 ms
64 bytes from 94.228.132.139: icmp_seq=24 ttl=48 time=13.7 ms
64 bytes from 94.228.132.139: icmp_seq=25 ttl=48 time=13.9 ms
64 bytes from 94.228.132.139: icmp_seq=26 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=27 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=28 ttl=48 time=13.8 ms
64 bytes from 94.228.132.139: icmp_seq=29 ttl=48 time=13.8 ms
